Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
9,35,24,2,0,37.5,6,lbw,3,v Australia,Sydney,3/1/12,Australia,Test,No
44,107,81,6,0,54.32,6,caught,1,v Australia,Perth,1/13/12,Australia,Test,No
75,191,136,9,0,55.14,6,caught,3,v Australia,Perth,1/13/12,Australia,Test,No
116,237,213,11,1,54.46,6,lbw,2,v Australia,Adelaide,1/24/12,Australia,Test,Yes
22,96,62,2,0,35.48,6,run out,4,v Australia,Adelaide,1/24/12,Australia,Test,No
58,143,107,8,0,54.2,5,caught,1,v New Zealand,Hyderabad (Deccan),8/23/12,India,Test,No
103,284,193,14,1,53.36,5,lbw,2,v New Zealand,Bengaluru,8/31/12,India,Test,Yes
51*,130,82,9,0,62.19,5,not out,4,v New Zealand,Bengaluru,8/31/12,India,Test,No
19,70,67,3,0,28.35,5,bowled,1,v England,Ahmedabad,11/15/12,India,Test,No
14*,17,21,3,0,66.66,3,not out,4,v England,Ahmedabad,11/15/12,India,Test,No
19,65,55,3,0,34.54,5,caught,1,v England,Wankhede,11/23/12,India,Test,No
7,16,13,1,0,53.84,5,caught,3,v England,Wankhede,11/23/12,India,Test,No
6,31,24,1,0,25,5,caught,1,v England,Eden Gardens,5/12/12,India,Test,No
20,86,60,3,0,33.33,5,caught,3,v England,Eden Gardens,5/12/12,India,Test,No
103,356,295,11,0,34.91,5,lbw,2,v England,Nagpur,12/13/12,India,Test,Yes
107,266,206,15,1,51.94,5,caught,2,v Australia,Chennai,2/22/13,India,Test,Yes
DNB,-,-,-,-,-,-,-,4,v Australia,Chennai,2/22/13,India,Test,No
34,119,92,3,0,36.95,5,caught,2,v Australia,Hyderabad (Deccan),2/3/13,India,Test,No
67*,157,129,7,1,51.93,5,not out,2,v Australia,Mohali,3/14/13,India,Test,No
34,80,61,6,0,55.73,3,caught,4,v Australia,Mohali,3/14/13,India,Test,No
1,11,8,0,0,12.5,3,lbw,2,v Australia,Delhi,3/22/13,India,Test,No
41,76,60,4,0,68.33,3,lbw,4,v Australia,Delhi,3/22/13,India,Test,No
3,13,5,0,0,60,5,caught,2,v West Indies,Eden Gardens,6/11/13,India,Test,No
57,80,78,5,0,73.07,5,caught,2,v West Indies,Wankhede,11/14/13,India,Test,No
119,257,181,18,0,65.74,4,caught,1,v South Africa,Johannesburg,12/18/13,South Africa,Test,Yes
96,254,193,9,0,49.74,4,caught,3,v South Africa,Johannesburg,12/18/13,South Africa,Test,No
46,114,87,5,0,52.87,4,caught,1,v South Africa,Durban,12/26/13,South Africa,Test,No
11,26,27,1,0,40.74,4,caught,3,v South Africa,Durban,12/26/13,South Africa,Test,No
4,17,13,1,0,30.76,4,caught,2,v New Zealand,Auckland,6/2/14,New Zealand,Test,No
67,131,102,12,0,65.68,4,caught,4,v New Zealand,Auckland,6/2/14,New Zealand,Test,No
38,131,93,4,0,40.86,5,caught,2,v New Zealand,Wellington,2/14/14,New Zealand,Test,No
105*,195,135,15,1,77.77,4,not out,4,v New Zealand,Wellington,2/14/14,New Zealand,Test,Yes
1,6,8,0,0,12.5,4,caught,1,v England,Nottingham,9/7/14,England,Test,No
8,39,29,1,0,27.58,4,lbw,3,v England,Nottingham,9/7/14,England,Test,No
25,39,34,4,0,73.52,4,caught,1,v England,Lord's,7/17/14,England,Test,No
0,1,1,0,0,0,4,bowled,3,v England,Lord's,7/17/14,England,Test,No
39,119,75,3,0,52,4,caught,2,v England,Southampton,7/27/14,England,Test,No
28,77,56,3,0,50,4,caught,4,v England,Southampton,7/27/14,England,Test,No
0,3,2,0,0,0,4,caught,1,v England,Manchester,7/8/14,England,Test,No
7,15,11,1,0,63.63,4,caught,3,v England,Manchester,7/8/14,England,Test,No
6,34,18,1,0,33.33,4,lbw,1,v England,The Oval,8/15/14,England,Test,No
20,80,54,2,0,37.03,4,caught,3,v England,The Oval,8/15/14,England,Test,No
115,267,184,12,0,62.5,4,caught,2,v Australia,Adelaide,9/12/14,Australia,Test,Yes
141,279,175,16,1,80.57,4,caught,4,v Australia,Adelaide,9/12/14,Australia,Test,Yes
19,50,27,1,0,70.37,4,caught,1,v Australia,Brisbane,12/17/14,Australia,Test,No
1,14,11,0,0,9.09,4,bowled,3,v Australia,Brisbane,12/17/14,Australia,Test,No
169,380,272,18,0,62.13,4,caught,2,v Australia,Melbourne,12/26/14,Australia,Test,Yes
54,134,99,7,0,54.54,4,caught,4,v Australia,Melbourne,12/26/14,Australia,Test,No
147,315,230,20,0,63.91,4,caught,2,v Australia,Sydney,6/1/15,Australia,Test,Yes
46,123,95,3,0,48.42,4,caught,4,v Australia,Sydney,6/1/15,Australia,Test,No
14,17,22,2,0,63.63,4,bowled,1,v Bangladesh,Fatullah,10/6/15,Bangladesh,Test,No
103,266,191,11,0,53.92,4,lbw,2,v Sri Lanka,Galle,12/8/15,Sri Lanka,Test,Yes
3,14,10,0,0,30,5,caught,4,v Sri Lanka,Galle,12/8/15,Sri Lanka,Test,No
78,178,107,8,1,72.89,4,caught,1,v Sri Lanka,Colombo (PSS),8/20/15,Sri Lanka,Test,No
10,33,19,0,0,52.63,4,lbw,3,v Sri Lanka,Colombo (PSS),8/20/15,Sri Lanka,Test,No
18,96,60,3,0,30,4,caught,1,v Sri Lanka,Colombo (SSC),8/28/15,Sri Lanka,Test,No
21,87,63,2,0,33.33,4,caught,3,v Sri Lanka,Colombo (SSC),8/28/15,Sri Lanka,Test,No
1,5,4,0,0,25,4,caught,1,v South Africa,Mohali,5/11/15,India,Test,No
29,92,71,4,0,40.84,4,caught,3,v South Africa,Mohali,5/11/15,India,Test,No
DNB,-,-,-,-,-,-,-,2,v South Africa,Bengaluru,11/14/15,India,Test,No
